thousand,千、千の,せん、せんの
dissolution,分離、溶解,ぶんり、ようかい
persist in,固執する、やり通す,こしつする、やりとうす
glisten,きらめく、光る,きらめく、ひかる
hydraulic,油圧の,ゆあつの
ragged,ぼろぼろの、古びた,ぼろぼろの、ふるびた
whimsical,気まぐれな、移り気な,きまぐれな、うつりきな
queen,女王,じょおう
slave,奴隷,どれい
mawkish,感傷的な、過剰に感動する,かんしょうてきな、かじょうにかんどうする
embroil in,に巻き込む、関与させる,にまきこむ、かんよさせる
take the initiative,率先して行動する。主導権を握って物事を進める。,そっせんしてこうどうする。しゅどうけんをにぎってものごとをすすめる。
mess up,台無しにする、台無しにして価値や効果を無くす、損なう,だいなしにする、だいなしにしてかちやこうかをなくす、そこなう
someone in need,助けが必要な人,たすけがひつようなにん
wage,賃金、給料。労働の対価として支払われる金銭。,ちんぎん、きゅうりょう。ろうどうのたいかとしてしはらわれるきんせん。
good morning,おはよう,おはよう
orchard,果樹園,かじゅえん
cheque,銀行振出の支払証書、小切手,ぎんこうふりだしのしはらいしょうしょ、こぎって
not any longer,もはやない,もはやない
injurious,有害な、危害を及ぼす,ゆうがいな、きがいをおよぼす
take turns,交代する,こうたいする
perpetual,永久の,えいきゅうの
accuse,責任を追及する。,せきにんをついきゅうする。
premature,時期尚早の、早まった,じきしょうそうの、はやまった
malaise,不快感、違和感,ふかいかん、いわかん
relieve,和らげる、安心させる,やわらげる、あんしんさせる
correct,正しい、修正する。間違いがない状態や、誤りを修正して正すことを意味します。,ただしい、しゅうせいする。まちがいがないじょうたいや、あやまりをしゅうせいしてただすことをいみします。
strenuous,努力を要する、骨の折れる,どりょくをようする、ほねのおれる
detergent,洗濯・食器用の洗剤,せんたく・しょっきようのせんざい
do away with,を廃止する、除く、無くす,をはいしする、のぞく、なくす
leave,去る 残す 置いて行く,さる のこす おいていく
die out,廃れる、流行が過ぎる、死に絶える,すたれる、りゅうこうがすぎる、しにたえる
customer-satisfaction,顧客の満足度。,こきゃくのまんぞくど。
arid,水分のない、不毛な、味気ない。,すいぶんのない、ふもうな、あじけない。
grant,助成金、または報奨金。特定の目的のために与えられる資金や報酬です。,じょせいきん、またはほうしょうきん。とくていのもくてきのためにあたえられるしきんやほうしゅうです。
manic,躁病の,そうびょうの
morose,不機嫌な,ふきげんな
psychic,超能力のある,ちょうのうりょくのある
secure,安全な、確実な。危険や不安のない状態。また、確保するという動詞としても。,あんぜんな、かくじつな。きけんやふあんのないじょうたい。また、かくほするというどうしとしても。
squalor,不潔、汚さ,ふけつ、よごさ
infinite,無限の、限りない,むげんの、かぎりない
human,人間に関連すること、または人間のこと。,にんげんにかんれんすること、またはにんげんのこと。
teem,群がる、集まる,むらがる、あつまる
handout,配布用の資料や情報。,はいふようのしりょうやじょうほう。
spelling,言葉の正しい綴り。,ことばのただしいつづり。
navy,海軍、水軍,かいぐん、すいぐん
then,それから、続けて、またはその時点で。,それから、つづけて、またはそのじてんで。
fully,十分に、完全に、全体として。,じゅうぶんに、かんぜんに、ぜんたいとして。
skew,斜めの、傾いた,ななめの、かたむいた
wet,濡れている,ぬれている
buy over,買収する、味方に抱き込む,ばいしゅうする、みかたにだきこむ
cost,費用として払う、費用。何かを得るために支払うお金。,ひようとしてはらう、ひよう。なにかをえるためにしはらうおかね。
enroll,入学する。学校や教育プログラムに正式に登録して参加すること。,にゅうがくする。がっこうやきょういくぷろぐらむにせいしきにとうろくしてさんかすること。
provocation,挑発,ちょうはつ
in the event of,の場合には,のばあいには
destruction,破壊、崩壊、消滅,はかい、ほうかい、しょうめつ
ranch,牧場,ぼくじょう
pulse,脈拍、心臓の鼓動、振動,みゃくはく、しんぞうのこどう、しんどう
through,～を通して。ある期間や過程を通して、またはある手段を用いてという意味を表す。,~をとうして。あるきかんやかていをとうして、またはあるしゅだんをもちいてといういみをあらわす。
slapstick,ドタバタ喜劇,どたばたきげき
oversleep,寝坊する、寝過ごす,ねぼうする、ねすごす
fold,折る、畳む、閉じる,おる、たたむ、とじる
hobnob,親しく交際する、つるむ,したしくこうさいする、つるむ
mutual,相互の、互いの,そうごの、たがいの
approve of,を認める,をみとめる
councilor,評議員、議員,ひょうぎいん、ぎいん
rise,上がる、昇る,あがる、のぼる
sportsmanship,公平なプレー精神,こうへいなぷれーせいしん
utter,完全な、全くの、絶対的な,かんぜんな、まったくの、ぜったいてきな
wharf,波止場、埠頭,はとば、ふとう
formula,数式や計画の形式。,すうしきやけいかくのけいしき。
move,動く、引っ越す,うごく、ひっこす
bull,雄牛、特に未去勢のもの。,おうし、とくにひつじきょせいのもの。
ball up,混乱する、台無しにする,こんらんする、だいなしにする
compete with,と競争する、と競う,ときょうそうする、ときそう
classical,古典的な。古くから受け継がれている形式や、伝統的な価値を持つものを指します。,こてんてきな。ふるくからうけつがれているけいしきや、でんとうてきなかちをもつものをさします。
